"name","province","sub_region_1","date","value","value_daily"
"cases","AB",NA,2020-05-02,0,0
"cases","AB","Calgary",2020-05-03,3780,56
"cases","AB","Central",2020-05-03,78,0
"cases","AB","Edmonton",2020-05-03,482,2
"cases","AB","North",2020-05-03,218,4
"cases","AB","Not Reported",2020-05-03,0,0
"cases","AB","South",2020-05-03,1082,8
"cases","AB",NA,2020-05-03,0,0
"cases","AB","Calgary",2020-05-04,3846,66
"cases","AB","Central",2020-05-04,78,0
"cases","AB","Edmonton",2020-05-04,483,1
"cases","AB","North",2020-05-04,218,0
"cases","AB","Not Reported",2020-05-04,0,0
"cases","AB","South",2020-05-04,1094,12
"cases","AB",NA,2020-05-04,0,0
"cases","AB","Calgary",2020-05-05,3893,47
"cases","AB","Central",2020-05-05,80,2
"cases","AB","Edmonton",2020-05-05,486,3
"cases","AB","North",2020-05-05,220,2
"cases","AB","Not Reported",2020-05-05,0,0
"cases","AB","South",2020-05-05,1102,8
"cases","AB",NA,2020-05-05,0,0
"cases","AB","Calgary",2020-05-06,3948,55
"cases","AB","Central",2020-05-06,81,1
"cases","AB","Edmonton",2020-05-06,486,0
"cases","AB","North",2020-05-06,222,2
"cases","AB","Not Reported",2020-05-06,0,0
"cases","AB","South",2020-05-06,1109,7
"cases","AB",NA,2020-05-06,0,0
"cases","AB","Calgary",2020-05-07,4015,67
"cases","AB","Central",2020-05-07,85,4
"cases","AB","Edmonton",2020-05-07,488,2
"cases","AB","North",2020-05-07,222,0
"cases","AB","Not Reported",2020-05-07,0,0
"cases","AB","South",2020-05-07,1123,14
"cases","AB",NA,2020-05-07,0,0
"cases","AB","Calgary",2020-05-08,4081,66
"cases","AB","Central",2020-05-08,85,0
"cases","AB","Edmonton",2020-05-08,488,0
"cases","AB","North",2020-05-08,224,2
"cases","AB","Not Reported",2020-05-08,0,0
"cases","AB","South",2020-05-08,1132,9
"cases","AB",NA,2020-05-08,0,0
"cases","AB","Calgary",2020-05-09,4151,70
"cases","AB","Central",2020-05-09,85,0
"cases","AB","Edmonton",2020-05-09,490,2
"cases","AB","North",2020-05-09,225,1
"cases","AB","Not Reported",2020-05-09,0,0
"cases","AB","South",2020-05-09,1144,12
"cases","AB",NA,2020-05-09,0,0
"cases","AB","Calgary",2020-05-10,4212,61
"cases","AB","Central",2020-05-10,85,0
"cases","AB","Edmonton",2020-05-10,494,4
"cases","AB","North",2020-05-10,225,0
"cases","AB","Not Reported",2020-05-10,0,0
"cases","AB","South",2020-05-10,1150,6
"cases","AB",NA,2020-05-10,0,0
"cases","AB","Calgary",2020-05-11,4256,44
"cases","AB","Central",2020-05-11,85,0
"cases","AB","Edmonton",2020-05-11,494,0
"cases","AB","North",2020-05-11,225,0
"cases","AB","Not Reported",2020-05-11,0,0
"cases","AB","South",2020-05-11,1153,3
"cases","AB",NA,2020-05-11,0,0
"cases","AB","Calgary",2020-05-12,4320,64
"cases","AB","Central",2020-05-12,85,0
"cases","AB","Edmonton",2020-05-12,496,2
"cases","AB","North",2020-05-12,225,0
"cases","AB","Not Reported",2020-05-12,0,0
"cases","AB","South",2020-05-12,1157,4
"cases","AB",NA,2020-05-12,0,0
"cases","AB","Calgary",2020-05-13,4367,47
"cases","AB","Central",2020-05-13,85,0
"cases","AB","Edmonton",2020-05-13,498,2
"cases","AB","North",2020-05-13,225,0
"cases","AB","Not Reported",2020-05-13,0,0
"cases","AB","South",2020-05-13,1170,13
"cases","AB",NA,2020-05-13,0,0
"cases","AB","Calgary",2020-05-14,4411,44
"cases","AB","Central",2020-05-14,88,3
"cases","AB","Edmonton",2020-05-14,498,0
"cases","AB","North",2020-05-14,227,2
"cases","AB","Not Reported",2020-05-14,0,0
"cases","AB","South",2020-05-14,1182,12
"cases","AB",NA,2020-05-14,0,0
"cases","AB","Calgary",2020-05-15,4469,58
"cases","AB","Central",2020-05-15,88,0
"cases","AB","Edmonton",2020-05-15,499,1
"cases","AB","North",2020-05-15,227,0
"cases","AB","Not Reported",2020-05-15,0,0
"cases","AB","South",2020-05-15,1196,14
"cases","AB",NA,2020-05-15,0,0
"cases","AB","Calgary",2020-05-16,4514,45
"cases","AB","Central",2020-05-16,88,0
"cases","AB","Edmonton",2020-05-16,500,1
"cases","AB","North",2020-05-16,227,0
"cases","AB","Not Reported",2020-05-16,0,0
"cases","AB","South",2020-05-16,1204,8
"cases","AB",NA,2020-05-16,0,0
"cases","AB","Calgary",2020-05-17,4555,41
"cases","AB","Central",2020-05-17,88,0
"cases","AB","Edmonton",2020-05-17,500,0
"cases","AB","North",2020-05-17,228,1
"cases","AB","Not Reported",2020-05-17,0,0
"cases","AB","South",2020-05-17,1208,4
"cases","AB",NA,2020-05-17,0,0
"cases","AB","Calgary",2020-05-18,4589,34
"cases","AB","Central",2020-05-18,88,0
"cases","AB","Edmonton",2020-05-18,500,0
"cases","AB","North",2020-05-18,228,0
"cases","AB","Not Reported",2020-05-18,0,0
"cases","AB","South",2020-05-18,1212,4
"cases","AB",NA,2020-05-18,0,0
"cases","AB","Calgary",2020-05-19,4627,38
"cases","AB","Central",2020-05-19,88,0
"cases","AB","Edmonton",2020-05-19,501,1
"cases","AB","North",2020-05-19,229,1
"cases","AB","Not Reported",2020-05-19,0,0
"cases","AB","South",2020-05-19,1215,3
"cases","AB",NA,2020-05-19,0,0
"cases","AB","Calgary",2020-05-20,4648,21
"cases","AB","Central",2020-05-20,88,0
"cases","AB","Edmonton",2020-05-20,503,2
"cases","AB","North",2020-05-20,229,0
"cases","AB","Not Reported",2020-05-20,0,0
"cases","AB","South",2020-05-20,1219,4
"cases","AB",NA,2020-05-20,0,0
"cases","AB","Calgary",2020-05-21,4672,24
"cases","AB","Central",2020-05-21,88,0
"cases","AB","Edmonton",2020-05-21,503,0
