"date","source","date_start","date_end","region","sub_region_1","active_hospitalizations","active_icu"
"2020-10-31","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.10.0570.html","2020-10-31","2020-10-31","NB",,,
"2020-11-01","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.11.0571.html","2020-11-01","2020-11-01","NB",,,
"2020-11-02","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.11.0573.html","2020-11-02","2020-11-02","NB",,,
"2020-11-03","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.11.0576.html","2020-11-03","2020-11-03","NB",,,
"2020-11-04","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.11.0579.html","2020-11-04","2020-11-04","NB",,,
"2020-11-05","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.11.0584.html","2020-11-05","2020-11-05","NB",,,
"2020-11-06","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.11.0585.html","2020-11-06","2020-11-06","NB",,,
"2020-11-07","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.11.0586.html","2020-11-07","2020-11-07","NB",,,
"2020-11-08","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.11.0587.html","2020-11-08","2020-11-08","NB",,,
"2020-11-09","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.11.0589.html","2020-11-09","2020-11-09","NB",,,
"2020-11-10","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.11.0590.html","2020-11-10","2020-11-10","NB",,,
"2020-11-11","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.11.0591.html","2020-11-11","2020-11-11","NB",,,
"2020-11-12","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.11.0595.html","2020-11-12","2020-11-12","NB",,,
"2020-11-13","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.11.0598.html","2020-11-13","2020-11-13","NB",,,
"2020-11-14","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.11.0599.html","2020-11-14","2020-11-14","NB",,,
"2020-11-15","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.11.0600.html","2020-11-15","2020-11-15","NB",,,
"2020-11-16","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.11.0604.html","2020-11-16","2020-11-16","NB",,,
"2020-11-17","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.11.0607.html","2020-11-17","2020-11-17","NB",,,
"2020-11-18","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.11.0615.html","2020-11-18","2020-11-18","NB",,,
"2020-11-19","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.11.0617.html","2020-11-19","2020-11-19","NB",,,
"2020-11-20","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.11.0622.html","2020-11-20","2020-11-20","NB",,,
"2020-11-21","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.11.0624.html","2020-11-21","2020-11-21","NB",,,
"2020-11-22","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.11.0626.html","2020-11-22","2020-11-22","NB",,,
"2020-11-23","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.11.0630.html","2020-11-23","2020-11-23","NB",,,
"2020-11-24","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.11.0635.html","2020-11-24","2020-11-24","NB",,,
"2020-11-25","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.11.0637.html","2020-11-25","2020-11-25","NB",,,
"2020-11-26","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.11.0640.html","2020-11-26","2020-11-26","NB",,,
"2020-11-27","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.11.0643.html","2020-11-27","2020-11-27","NB",,,
"2020-11-28","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.11.0644.html","2020-11-28","2020-11-28","NB",,,
